CountryCode,3letterCountryCode,アシタバ,アスパラガス,アズキ,アピオス,アーティチョーク
AD,AND,0.0,0.0,0.0,0.0,0.0
AE,ARE,0.0,0.0,0.0,0.0,0.0
AF,AFG,0.0,0.0014458207963737252,0.09090909090909091,0.0,0.0
AG,ATG,0.0,0.0,0.0,0.0,0.0
AI,AIA,0.0,0.0,0.0,0.0,0.0
AL,ALB,0.0,7.815247547966082e-05,0.0,0.0,0.0
AM,ARM,0.0,0.0025399554530889765,0.0,0.0,0.0
AO,AGO,0.0,3.907623773983041e-05,0.0,0.0,0.0
AQ,ATA,0.0,0.0,0.0,0.0,0.0
AR,ARG,0.0,0.003946700011722871,0.0,0.0,0.007936507936507936
AS,ASM,0.0,0.0,0.0,0.0,0.0
AT,AUT,0.0,0.010785041616193192,0.0,0.0004451368795904741,0.0
AU,AUS,0.0,0.05982571997968036,0.0,0.0,0.0
AW,ABW,0.0,3.907623773983041e-05,0.0,0.0,0.0
AX,ALA,0.0,3.907623773983041e-05,0.0,0.0,0.0
AZ,AZE,0.0,0.004493767340080497,0.0,0.0,0.0
BA,BIH,0.0,0.0,0.0,0.0,0.0
BB,BRB,0.0,0.0,0.0,0.0,0.0
BD,BGD,0.0,0.0,0.0,0.0,0.0
BE,BEL,0.0,0.13235121722480558,0.0,0.00011128421989761852,0.40476190476190477
BF,BFA,0.0,0.0,0.0,0.0,0.0
BG,BGR,0.0,0.0004689148528779649,0.0,0.0,0.007936507936507936
BH,BHR,0.0,0.0,0.0,0.0,0.0
BI,BDI,0.0,0.0,0.0,0.0,0.0
BJ,BEN,0.0,0.0,0.0,0.0,0.0
BL,BLM,0.0,0.0,0.0,0.0,0.0
BM,BMU,0.0,0.0,0.0,0.0,0.0
BN,BRN,0.0,0.0,0.0,0.0,0.0
BO,BOL,0.0,0.00027353366417881287,0.0,0.0,0.007936507936507936
BQ,BES,0.0,0.0,0.0,0.0,0.0
BR,BRA,0.0,0.003047946543706772,0.04195804195804196,0.0,0.49206349206349204
BS,BHS,0.0,0.0,0.0,0.0,0.0
BT,BTN,0.0,3.907623773983041e-05,0.027972027972027972,0.0,0.0
BV,BVT,0.0,0.0,0.0,0.0,0.0
BW,BWA,0.0,0.0,0.0,0.0,0.0
BY,BLR,0.0,0.0035950138720643975,0.0,0.0,0.0
BZ,BLZ,0.0,0.0,0.0,0.0,0.0
CA,CAN,0.0,0.06435856355750068,0.0,0.12708657912308036,0.007936507936507936
CC,CCK,0.0,0.0,0.0,0.0,0.0
CD,COD,0.0,0.0,0.0,0.0,0.0
CF,CAF,0.0,0.0,0.0,0.0,0.0
CG,COG,0.0,0.0,0.0,0.0,0.0
CH,CHE,0.0,0.053456293228088,0.0,0.0021144001780547517,0.031746031746031744
CI,CIV,0.0,0.0,0.0,0.0,0.0
CK,COK,0.0,0.0,0.0,0.0,0.0
CL,CHL,0.0,0.00015630495095932164,0.0,0.0,0.007936507936507936
CM,CMR,0.0,0.0,0.0,0.0,0.0
CN,CHN,0.0,0.0031260990191864326,1.0,0.0,0.015873015873015872
CO,COL,0.0,0.0009378297057559298,0.0,0.0,0.42857142857142855
CR,CRI,0.0,0.00015630495095932164,0.0,0.0,0.0
CU,CUB,0.0,7.815247547966082e-05,0.006993006993006993,0.0,0.0
CV,CPV,0.0,0.0,0.0,0.0,0.0
CW,CUW,0.0,3.907623773983041e-05,0.0,0.0,0.0
CX,CXR,0.0,0.0,0.0,0.0,0.0
CY,CYP,0.0,3.907623773983041e-05,0.0,0.0,0.0
CZ,CZE,0.0,0.005118987143917783,0.0,0.00011128421989761852,0.0
DE,DEU,0.0,0.6360048454534797,0.0,0.0018918317382595148,0.007936507936507936
DJ,DJI,0.0,0.0,0.0,0.0,0.0
DK,DNK,0.0,0.059942948692899845,0.0,0.0,0.007936507936507936
DM,DMA,0.0,0.00015630495095932164,0.0,0.0,0.0
DO,DOM,0.0,3.907623773983041e-05,0.0,0.0,0.0
DZ,DZA,0.0,0.0,0.0,0.0,0.007936507936507936
EC,ECU,0.0,0.0011332108944550818,0.0,0.0,0.031746031746031744
EE,EST,0.0,0.009300144582079638,0.0,0.0,0.007936507936507936
EG,EGY,0.0,0.0,0.0,0.0,0.0
EH,ESH,0.0,0.0,0.0,0.0,0.0
ER,ERI,0.0,0.0,0.0,0.0,0.0
ES,ESP,0.0,0.0574420694775507,0.0,0.0,1.0
ET,ETH,0.0,0.0003516861396584737,0.0,0.0,0.05555555555555555
